Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi
0.3,7.4,0.41,141.12,16.45,295.72,Soyabean,0.661869289,-0.239643561,1.009821953
0.45,7.5,0.33,203.84,22.81,675.94,Soyabean,0.662363079,-0.238586941,1.013599012
0.3,7.2,0.4,125.44,19.08,390.78,Soyabean,0.541200079,-0.221882089,1.04499323
0.42,8.2,0.74,344.96,22.81,475.27,Soyabean,0.488084454,-0.201002358,1.067660243
0.14,6.9,0.69,172.48,16.23,591.45,Soyabean,0.595244987,-0.232173892,1.050542952
0.58,8.0,0.38,266.56,31.8,380.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.6,7.4,0.48,125.44,21.05,602.1,Soyabean,0.44931398,-0.289591092,1.065428113
0.65,8.1,0.3,125.44,27.41,454.15,Soyabean,0.54391635,-0.247409069,1.04770497
0.43,7.6,0.47,78.4,23.68,517.52,Soyabean,0.440994411,-0.260422452,1.072484198
0.37,7.8,0.55,78.4,23.9,380.22,Soyabean,0.523446446,-0.242037485,1.072717629
1.06,8.0,0.49,250.88,17.11,348.53,Soyabean,0.488084454,-0.201002358,1.067660243
0.34,8.1,0.42,156.8,38.82,232.36,Soyabean,0.578839654,-0.208992918,1.032141396
0.41,8.0,0.5,203.84,22.15,686.5,Soyabean,0.563644836,-0.214507964,1.042173185
0.43,7.8,0.46,172.48,18.42,242.92,Soyabean,0.464180426,-0.216941884,1.068016285
0.4,7.4,0.45,78.4,29.39,411.9,Soyabean,0.490508811,-0.229838164,1.084436862
0.49,7.3,0.36,141.12,24.78,612.57,Soyabean,0.445432244,-0.200404575,1.068295433
0.34,7.4,0.28,125.44,22.15,654.82,Soyabean,0.488084454,-0.201002358,1.067660243
0.44,7.1,0.22,219.52,22.37,433.03,Soyabean,0.41921894,-0.202737266,1.085801437
0.42,7.2,0.41,94.08,21.05,422.46,Soyabean,0.381248109,-0.159796442,1.092298738
0.91,8.2,0.28,156.8,18.86,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
0.35,7.2,0.62,235.2,27.41,570.33,Soyabean,0.488084454,-0.201002358,1.067660243
0.35,7.1,0.26,141.12,20.61,549.2,Soyabean,0.364578749,-0.189973434,1.124859892
0.75,7.9,0.6,188.16,21.49,464.71,Soyabean,0.556223676,-0.19984821,1.042896702
0.32,8.0,0.33,125.44,35.09,274.6,Soyabean,0.528575135,-0.198046955,1.056894193
0.25,8.1,0.48,188.16,25.22,528.08,Soyabean,0.44142615,-0.205531929,1.078385386
0.28,7.7,0.8,94.08,24.34,380.22,Soyabean,0.472290448,-0.197348242,1.094541584
0.15,6.8,0.68,250.88,21.93,242.92,Soyabean,0.547797978,-0.198600862,1.045522863
0.42,8.1,0.48,329.28,26.97,855.49,Soyabean,0.504041206,-0.198367859,1.064371065
0.73,7.6,0.35,172.48,19.52,337.97,Soyabean,0.404198194,-0.207427697,1.089678953
0.25,8.3,0.34,125.44,18.42,411.9,Soyabean,0.44134991,-0.189806211,1.104933786
0.37,7.4,0.76,141.12,24.56,886.05,Soyabean,0.442238832,-0.194077899,1.071673835
0.83,7.9,0.23,141.12,10.31,570.33,Soyabean,0.377150807,-0.206109487,1.100386574
0.62,7.9,0.55,235.2,17.76,390.78,Soyabean,0.350356002,-0.207219681,1.106081247
0.61,7.4,0.34,407.68,22.37,760.44,Soyabean,0.488084454,-0.201002358,1.067660243
0.8,7.2,0.39,203.84,37.5,333.97,Soyabean,0.488084454,-0.201002358,1.067660243
0.54,7.3,0.28,172.48,20.18,802.68,Soyabean,0.457647467,-0.183502115,1.067500576
0.57,7.9,0.49,125.44,11.18,433.03,Soyabean,0.43106367,-0.179595475,1.084987248
0.77,8.1,0.58,109.76,20.18,464.71,Soyabean,0.290464336,-0.228108514,1.123647835
0.6,8.0,0.42,156.8,18.42,443.59,Soyabean,0.365794768,-0.178480292,1.128959651
0.51,7.4,0.44,188.16,13.82,316.85,Soyabean,0.262196561,-0.220129137,1.118284297
0.5,7.5,0.32,219.52,26.32,887.17,Soyabean,0.261488069,-0.232295434,1.132387589
0.41,7.4,0.29,125.44,16.89,665.38,Soyabean,0.488084454,-0.201002358,1.067660243
0.53,7.3,0.4,141.12,12.72,633.7,Soyabean,0.488084454,-0.201002358,1.067660243
0.69,7.5,0.45,360.64,18.2,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
0.3,8.1,0.31,109.76,27.41,675.94,Soyabean,0.31875599,-0.187936511,1.111034211
0.68,8.0,0.43,266.56,30.04,464.71,Soyabean,0.488084454,-0.201002358,1.067660243
0.62,7.9,0.45,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
1.03,7.5,0.32,266.56,25.88,686.5,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.8,0.35,172.48,18.2,517.52,Soyabean,0.488084454,-0.201002358,1.067660243
0.41,7.5,0.4,235.2,23.68,464.71,Soyabean,0.488084454,-0.201002358,1.067660243
0.47,7.5,0.39,172.48,22.15,316.85,Soyabean,0.488084454,-0.201002358,1.067660243
0.67,7.6,0.36,141.12,18.86,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.73,8.0,0.37,156.8,14.47,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.6,0.34,313.6,25.44,517.52,Soyabean,0.373188983,-0.168437775,1.126181997
1.09,7.1,0.26,172.48,19.08,295.72,Soyabean,0.403352733,-0.175620118,1.080966106
0.77,7.9,0.64,188.16,13.38,591.45,Soyabean,0.413650402,-0.174688639,1.073219829
0.29,7.7,0.55,156.8,27.63,359.09,Soyabean,0.418208071,-0.17822399,1.079872651
0.41,7.4,0.35,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
0.44,7.4,0.72,62.72,21.49,528.08,Soyabean,0.488084454,-0.201002358,1.067660243
0.43,7.6,0.85,141.12,14.25,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.45,7.9,0.56,109.76,14.47,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.3,7.3,0.4,172.48,25.88,749.87,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.6,0.44,94.08,18.42,591.45,Soyabean,0.488084454,-0.201002358,1.067660243
0.41,8.1,0.52,109.76,17.76,623.13,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.2,0.45,172.48,10.96,162.57,Soyabean,0.488084454,-0.201002358,1.067660243
0.7,7.5,0.85,109.76,13.38,771.0,Soyabean,0.488084454,-0.201002358,1.067660243
0.5,7.1,0.3,125.44,21.05,528.08,Soyabean,0.488084454,-0.201002358,1.067660243
0.5,7.8,0.54,172.48,13.82,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
1.2,7.5,0.54,329.28,26.97,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
0.82,7.4,0.47,235.2,27.85,939.98,Soyabean,0.488084454,-0.201002358,1.067660243
0.97,8.1,0.54,203.84,22.37,475.23,Soyabean,0.488084454,-0.201002358,1.067660243
0.34,7.1,0.24,125.44,25.0,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
0.24,7.8,0.61,141.12,20.61,612.57,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.5,0.74,172.48,30.04,517.52,Soyabean,0.488084454,-0.201002358,1.067660243
0.4,7.7,0.31,156.8,18.86,739.31,Soyabean,0.488084454,-0.201002358,1.067660243
0.38,7.6,0.65,94.08,24.34,485.83,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.6,0.44,78.4,21.05,433.03,Soyabean,0.488084454,-0.201002358,1.067660243
0.32,7.3,0.43,219.52,21.71,443.59,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,7.1,0.3,156.8,26.53,559.76,Soyabean,0.488084454,-0.201002358,1.067660243
0.47,7.4,0.58,109.76,17.54,538.64,Soyabean,0.488084454,-0.201002358,1.067660243
0.55,7.6,0.38,109.76,27.63,538.64,Soyabean,0.488084454,-0.201002358,1.067660243
0.4,7.5,0.33,156.8,29.17,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.49,7.5,0.66,250.88,14.25,496.4,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,7.7,0.22,78.4,23.68,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
1.07,7.6,0.54,188.16,15.35,623.13,Soyabean,0.488084454,-0.201002358,1.067660243
0.68,7.6,0.77,109.76,16.26,654.82,Soyabean,0.488084454,-0.201002358,1.067660243
0.81,7.8,0.32,94.08,26.31,644.26,Soyabean,0.443670095,-0.154782149,1.059472689
0.78,7.7,0.53,156.8,19.52,464.71,Soyabean,0.426497968,-0.174842869,1.125201243
0.54,7.4,0.5,266.56,15.13,623.13,Soyabean,0.372271341,-0.194000275,1.095915654
0.3,8.2,0.26,125.44,12.72,559.76,Soyabean,0.338656566,-0.176493166,1.081538612
0.54,7.1,0.72,94.08,27.63,517.52,Soyabean,0.432098412,-0.200696319,1.121433845
0.56,7.5,0.4,125.44,39.91,443.59,Soyabean,0.488084454,-0.201002358,1.067660243
0.63,7.6,0.56,125.44,16.01,591.45,Soyabean,0.488084454,-0.201002358,1.067660243
0.29,7.4,0.42,125.44,33.99,485.83,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,8.0,0.55,141.12,10.75,433.03,Soyabean,0.488084454,-0.201002358,1.067660243
0.37,7.7,0.37,109.76,18.99,570.33,Soyabean,0.488084454,-0.201002358,1.067660243
0.58,7.7,0.39,141.12,10.09,264.04,Soyabean,0.278834064,-0.155398046,1.033863154
0.63,7.7,0.48,235.2,18.2,411.9,Soyabean,0.505304007,-0.225667516,1.025465619
0.63,8.0,0.53,203.84,25.66,285.16,Soyabean,0.488084454,-0.201002358,1.067660243
0.61,7.4,0.45,266.56,29.6,422.46,Soyabean,0.488084454,-0.201002358,1.067660243
0.7,7.9,0.51,203.84,24.78,580.89,Soyabean,0.488084454,-0.201002358,1.067660243
0.57,7.6,0.53,313.6,19.96,274.6,Soyabean,0.488084454,-0.201002358,1.067660243
0.56,8.1,0.65,235.2,19.74,517.52,Soyabean,0.488084454,-0.201002358,1.067660243
0.28,7.6,0.74,219.52,21.93,559.76,Soyabean,0.664070751,-0.199625731,1.004243889
0.24,7.5,0.82,219.52,30.92,422.46,Soyabean,0.633478718,-0.207017238,1.025720818
0.82,8.0,0.42,266.56,14.91,285.16,Soyabean,0.615322945,-0.222983618,1.017262379
0.27,7.0,0.73,156.8,22.81,369.66,Soyabean,0.669769588,-0.212258925,1.011115358
0.25,7.1,0.74,203.84,17.98,348.53,Soyabean,0.609301371,-0.218499945,1.031139312
0.29,7.5,0.78,156.8,17.76,295.72,Soyabean,0.654562228,-0.232525771,1.049233312
0.14,7.0,0.72,125.44,10.75,496.4,Soyabean,0.649875804,-0.212886411,1.036284439
0.65,7.5,0.66,156.8,23.68,348.53,Soyabean,0.663664774,-0.199091684,1.024278467
0.14,7.6,0.7,188.16,20.61,179.55,Soyabean,0.488084454,-0.201002358,1.067660243
0.25,7.4,0.75,203.84,15.57,475.27,Soyabean,0.488084454,-0.201002358,1.067660243
0.76,7.4,0.64,501.76,14.25,390.78,Soyabean,0.527292819,-0.212338001,1.062745101
0.65,7.5,0.3,392.0,18.2,528.08,Soyabean,0.595191471,-0.196167476,1.050560218
0.31,7.7,0.42,78.4,17.98,433.03,Soyabean,0.609652549,-0.198809738,1.063568682
0.37,7.6,0.74,125.44,17.11,242.92,Soyabean,0.569588538,-0.203630169,1.045586035
0.7,7.6,0.56,313.6,14.25,485.83,Soyabean,0.510964022,-0.198400419,1.080644843
0.42,7.7,0.48,329.28,23.9,348.53,Soyabean,0.499073028,-0.165006504,1.02929376
0.74,7.7,0.46,360.64,16.01,337.97,Soyabean,0.535297691,-0.1804776,1.04769852
0.62,8.0,0.55,235.2,13.38,316.85,Soyabean,0.513293613,-0.191040038,1.095868139
0.58,7.9,0.47,313.6,16.67,433.03,Soyabean,0.589599312,-0.200715461,1.06339442
0.73,7.3,0.26,219.52,19.3,496.4,Soyabean,0.488084454,-0.201002358,1.067660243
0.43,7.9,0.7,78.4,22.81,422.46,Soyabean,0.488084454,-0.201002358,1.067660243
0.64,7.7,0.61,156.8,23.46,348.53,Soyabean,0.488084454,-0.201002358,1.067660243
0.54,8.1,0.61,313.6,14.03,359.09,Soyabean,0.488084454,-0.201002358,1.067660243
0.79,7.7,0.71,94.08,24.56,381.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.55,7.8,0.54,156.8,18.86,390.78,Soyabean,0.488084454,-0.201002358,1.067660243
0.74,7.6,0.54,188.16,24.78,359.09,Soyabean,0.488084454,-0.201002358,1.067660243
0.81,7.8,0.46,125.44,19.3,538.64,Soyabean,0.488084454,-0.201002358,1.067660243
0.24,7.1,0.66,172.48,15.57,380.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.17,7.7,0.6,156.8,21.93,337.97,Soyabean,0.488084454,-0.201002358,1.067660243
0.22,8.2,0.55,141.12,16.89,316.85,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.6,0.73,141.12,17.76,168.99,Soyabean,0.52949983,-0.196358179,1.083172311
0.37,7.6,0.81,109.76,20.39,200.67,Soyabean,0.465920113,-0.183368707,1.063027915
0.25,7.5,0.72,203.84,21.49,401.34,Soyabean,0.462479051,-0.180829075,1.088974643
0.25,7.7,0.77,203.84,24.12,380.22,Soyabean,0.432405295,-0.168535788,1.049139693
0.43,7.4,0.79,188.16,14.03,506.96,Soyabean,0.476268902,-0.195110989,1.048767854
0.42,7.5,0.73,235.2,17.11,506.96,Soyabean,0.489832936,-0.192510796,1.076867431
0.5,7.7,0.38,313.6,23.68,242.92,Soyabean,0.514047665,-0.195306723,1.053940102
0.11,7.4,0.83,235.2,15.35,221.79,Soyabean,0.4385902,-0.184651781,1.089546081
0.87,8.1,0.78,141.12,26.53,644.26,Soyabean,0.519352817,-0.180998316,1.027329988
0.61,7.2,0.89,94.08,15.35,802.68,Soyabean,0.456317796,-0.179783571,1.056855301
1.16,7.2,0.38,156.8,21.27,718.19,Soyabean,0.51314132,-0.180625489,1.037594506
0.28,7.7,0.8,94.08,24.34,380.22,Soyabean,0.490442553,-0.198397724,1.092390219
0.94,8.0,0.44,219.52,17.32,707.63,Soyabean,0.605236791,-0.201002358,1.067660243
0.91,7.8,0.67,188.16,14.47,337.97,Soyabean,0.529101026,-0.201002358,1.067660243
0.75,7.4,0.38,517.44,16.45,749.87,Soyabean,0.488084454,-0.201002358,1.067660243
0.8,7.0,0.7,156.8,18.86,771.0,Soyabean,0.488084454,-0.201002358,1.067660243
0.84,7.3,0.86,172.48,25.88,961.11,Soyabean,0.488084454,-0.201002358,1.067660243
0.68,7.3,0.29,250.88,15.79,644.26,Soyabean,0.488084454,-0.201002358,1.067660243
0.91,7.5,0.31,486.08,18.42,665.38,Soyabean,0.488084454,-0.201002358,1.067660243
0.42,7.7,0.47,156.8,12.94,337.97,Soyabean,0.488084454,-0.201002358,1.067660243
0.65,7.4,0.32,909.44,16.45,686.5,Soyabean,0.488084454,-0.201002358,1.067660243
0.64,7.3,0.69,109.76,32.02,813.24,Soyabean,0.57040566,-0.201002358,1.067660243
0.74,8.1,0.52,329.28,22.59,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.87,7.9,0.76,407.68,24.34,359.09,Soyabean,0.488084454,-0.201002358,1.067660243
0.55,7.7,0.69,282.24,16.23,454.15,Soyabean,0.488084454,-0.201002358,1.067660243
0.32,7.5,0.43,125.44,24.56,580.89,Soyabean,0.482754036,-0.201002358,1.067660243
0.51,7.9,0.5,131.71,20.39,369.66,Soyabean,0.488084454,-0.201002358,1.067660243
0.25,7.9,0.74,360.64,21.71,728.75,Soyabean,0.488084454,-0.201002358,1.067660243
0.24,7.6,0.75,94.08,19.08,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
0.83,7.5,0.57,203.84,24.12,380.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.4,8.0,0.63,172.48,12.5,454.15,Soyabean,0.488084454,-0.201002358,1.067660243
0.24,7.3,0.28,109.76,19.08,496.4,Soyabean,0.488084454,-0.201002358,1.067660243
0.42,7.5,0.75,125.44,14.03,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.83,8.0,0.4,109.76,21.93,654.82,Soyabean,0.488084454,-0.201002358,1.067660243
0.93,7.7,0.24,68.99,24.34,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
0.94,7.8,0.73,188.16,24.78,185.83,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.7,0.3,172.48,18.42,855.49,Soyabean,0.488084454,-0.201002358,1.067660243
1.07,7.6,0.39,501.76,32.28,971.67,Soyabean,0.488084454,-0.201002358,1.067660243
0.63,7.8,0.44,658.56,26.32,580.89,Soyabean,0.488084454,-0.201002358,1.067660243
1.01,7.7,0.71,439.04,22.81,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
0.95,7.6,0.36,595.84,17.54,697.07,Soyabean,0.488084454,-0.201002358,1.067660243
0.91,7.4,0.39,219.52,17.54,802.68,Soyabean,0.488084454,-0.201002358,1.067660243
0.81,7.5,0.53,313.6,19.74,580.89,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.4,0.23,94.08,25.44,728.75,Soyabean,0.488084454,-0.201002358,1.067660243
0.96,8.0,0.55,141.12,21.93,602.01,Soyabean,0.488084454,-0.201002358,1.067660243
0.47,7.9,0.66,78.4,9.65,496.4,Soyabean,0.488084454,-0.201002358,1.067660243
0.18,7.3,0.84,78.4,21.93,443.59,Soyabean,0.488084454,-0.201002358,1.067660243
1.08,7.7,0.63,250.88,22.81,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
0.96,7.8,0.58,125.44,23.68,570.33,Soyabean,0.488084454,-0.201002358,1.067660243
0.8,8.1,0.52,329.28,14.47,422.46,Soyabean,0.488084454,-0.201002358,1.067660243
0.34,7.3,0.4,219.52,22.59,602.01,Soyabean,0.488084454,-0.201002358,1.067660243
0.23,7.0,0.53,94.08,21.49,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
0.54,7.5,0.29,109.76,20.61,802.68,Soyabean,0.488084454,-0.201002358,1.067660243
0.73,7.9,0.52,125.44,20.83,580.89,Soyabean,0.488084454,-0.201002358,1.067660243
0.85,7.6,0.56,78.4,20.18,781.56,Soyabean,0.488084454,-0.201002358,1.067660243
1.02,7.6,0.39,282.24,31.8,697.07,Soyabean,0.488084454,-0.201002358,1.067660243
0.44,7.0,0.78,172.48,23.46,623.13,Soyabean,0.488084454,-0.201002358,1.067660243
0.76,7.7,0.5,470.4,22.81,337.97,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,7.9,0.69,172.48,19.08,802.68,Soyabean,0.488084454,-0.201002358,1.067660243
0.76,7.6,0.76,203.84,12.06,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
1.15,7.3,0.43,297.92,25.88,718.19,Soyabean,0.488084454,-0.201002358,1.067660243
0.27,8.0,0.5,141.12,29.39,939.98,Soyabean,0.488084454,-0.201002358,1.067660243
0.45,8.0,0.46,156.8,13.82,411.9,Soyabean,0.488084454,-0.201002358,1.067660243
0.81,7.4,0.4,141.12,13.6,982.22,Soyabean,0.488084454,-0.201002358,1.067660243
0.73,7.1,0.28,297.92,23.25,707.63,Soyabean,0.488084454,-0.201002358,1.067660243
0.91,7.6,0.36,627.2,24.34,580.89,Soyabean,0.488084454,-0.201002358,1.067660243
0.32,7.6,0.18,172.48,29.6,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
1.13,7.5,0.33,533.12,22.15,855.49,Soyabean,0.488084454,-0.201002358,1.067660243
0.83,7.1,0.28,548.8,20.83,686.5,Soyabean,0.488084454,-0.201002358,1.067660243
1.01,8.2,0.34,109.76,8.55,549.2,Soyabean,0.488084454,-0.201002358,1.067660243
0.48,7.9,0.57,94.08,13.16,390.78,Soyabean,0.488084454,-0.201002358,1.067660243
0.74,8.3,0.49,141.12,21.49,506.96,Soyabean,0.488084454,-0.201002358,1.067660243
